Gene Symbol,Report Type,Report PMID,Primary Disorder(s),Associated Disorder(s)
ADNP,Support,36475376,"ASD, ID",
ADNP,Support,36553633,"Helsmoortel-Van der Aa syndrome, DD, ID","Autistic features, stereotypy"
ADNP,Support,36631597,,
ADNP,Support,36669790,"Helsmoortel-van der Aa syndrome, DD",
ADNP,Support,36828924,"DD, ID",Autistic features
ADNP,Recent Recommendation,36879130,Arachnoid cysts,"ASD, DD, epilepsy/seizures"
ADNP,Support,36980980,"DD, ID",ASD
ADNP,Support,37035742,ASD,ID
ADNP,Support,37063667,"Helsmoortel-van der Aa syndrome, DD",
ADNP,Recent Recommendation,37086723,Craniosynostosis,ASD
ADNP,Support,37365244,Helsmoortel-van der Aa syndrome,
ADNP,Support,37460657,ID,
ADNP,Support,37506195,ASD,
ADNP,Support,37943464,"ASD, ADHD",
ADNP,Support,38204290,"Helsmoortel-van der Aa syndrome, ASD, DD",Stereotypy
ADNP,Support,38254177,Helsmoortel-van der Aa syndrome,"ASD, DD, ID"
ADNP,Support,38424297,"Helsmoortel-van der Aa syndrome, ASD, DD, ID",
ADNP,Support,38438125,DD,ASD
ADORA2A,Recent Recommendation,18184569,,
ADORA2A,Recent Recommendation,18832607,,
ADORA2A,Recent Recommendation,18953346,,
ADORA2A,Recent Recommendation,19443488,,
ADORA2A,Primary,19565319,ASD,22q11.2 deletion syndrome
ADORA2A,Highly Cited,7953635,,
ADORA2A,Highly Cited,9262401,,
ADORA3,Support,21705486,,
ADORA3,Primary,23953133,ASD,
ADORA3,Support,35982159,ASD,
ADORA3,Support,37506195,ASD,
ADRB2,Positive Association,16417856,ASD,
ADRB2,Recent Recommendation,17175110,,
ADRB2,Recent Recommendation,17179741,,
ADRB2,Primary,17199132,ASD,
ADRB2,Recent Recommendation,17952055,,
ADRB2,Recent Recommendation,17962520,,
ADRB2,Recent Recommendation,18485874,,
ADRB2,Recent Recommendation,20805681,,
ADRB2,Highly Cited,8837779,,
ADRB2,Highly Cited,9363896,,
ADSL,Highly Cited,1302001,ID,Autistic features
ADSL,Primary,15471876,ASD,
ADSL,Recent Recommendation,16403972,,
ADSL,Support,26539891,"DD, ID",
ADSL,Support,29286531,"DD, epilepsy/seizures",Developmental regression
ADSL,Support,34582790,DD,Epilepsy/seizures
ADSL,Support,34800434,ASD,"DD, ID"
ADSL,Support,35982159,ASD,
ADSL,Highly Cited,6150139,Adenylosuccinase deficiency,"Autism, psychomotor delay"
ADSS2,Primary,25363760,ASD,
ADSS2,Support,26325558,ASD,
ADSS2,Recent Recommendation,31332282,ASD,
AFF2,Support,10424820,Fragile X syndrome,"MR, Epilepsy"
AFF2,Support,21739600,XLID,
AFF2,Support,22065534,DD,
AFF2,Support,22511880,ASD,
AFF2,Recent Recommendation,22773736,ASD,
AFF2,Support,23020937,ID,"Epilepsy, ASD"
AFF2,Support,23092983,ASD,ID
AFF2,Support,23352160,ASD,
AFF2,Support,23352163,ASD,
AFF2,Support,23849776,ASD,
AFF2,Support,25035088,ASD,
AFF2,Support,26544041,"DD, ID, epilepsy/seizures",
AFF2,Support,28263302,ASD,
AFF2,Support,30555518,ASD,DD/ID
AFF2,Support,33023636,ASD,
AFF2,Support,34800434,ASD,"DD, ID"
AFF2,Support,35431806,Epilepsy/seizures,
AFF2,Support,35741772,ASD,
AFF2,Support,36973392,ASD,
AFF2,Support,37007974,ASD,
AFF2,Primary,9034011,ASD,ADHD
AFF4,Highly Cited,10588740,,
AFF4,Recent Recommendation,20159561,,
AFF4,Recent Recommendation,21330300,,
AFF4,Primary,22495306,ASD,
AFF4,Recent Recommendation,22528490,,
AFF4,Recent Recommendation,25730767,CHOPS syndrome,"DD, ID"
AFF4,Recent Recommendation,26938441,,
AFF4,Support,34615535,ASD,
AFF4,Support,35982159,ASD,
AGAP1,Highly Cited,12388557,,
AGAP1,Recent Recommendation,15381706,,
AGAP1,Primary,15892143,ASD,
AGAP1,Recent Recommendation,16332543,,
AGAP1,Support,24410847,ASD,
AGAP1,Support,25363768,ASD,
AGAP1,Support,25533962,Unknown diagnosis,
AGAP1,Recent Recommendation,27713690,,
AGAP1,Support,35982159,ASD,
AGAP1,Support,37470098,DD,"ASD, ID"
AGAP2,Primary,25363760,ASD,
AGAP2,Support,25363768,ASD,
AGAP2,Recent Recommendation,28263302,ASD,
AGAP2,Support,30564305,ASD,
AGAP2,Support,33432195,ASD,
AGAP2,Support,35982159,ASD,
AGAP5,Primary,32778826,ASD,
AGAP5,Support,35982159,ASD,
AGBL4,Primary,20531469,ASD,
AGBL4,Support,23275889,ASD,
AGBL4,Support,23632794,ASD,ID
AGMO,Primary,17363630,ASD,
AGMO,Support,20797689,ASD,
AGMO,Support,23275889,ASD,
AGMO,Support,25363760,ASD,
AGMO,Support,27667684,ASD,
AGMO,Support,31398340,ASD,
AGMO,Support,32372567,ASD,
AGMO,Support,37506195,ASD,
AGO1,Support,23020937,ID,"Absent speech,motor delay"
AGO1,Support,25356899,"ID, epilepsy/seizures",Speech delay
AGO1,Primary,25363768,ASD,
AGO1,Support,27620904,"ID, autistic behavior, stereotypies","Speech delay, motor delay"
AGO1,Recent Recommendation,29346770,ASD,
AGO1,Recent recommendation,30213762,ID,Epilepsy/seizures
AGO1,Support,31038196,ASD,
AGO1,Recent Recommendation,34930816,"DD, ID","ASD or autistic behavior, stereotypy, epilepsy/sei"
AGO1,Recent Recommendation,35060114,"DD, ID, epilepsy/seizures",
AGO1,Support,35982159,ASD,
AGO1,Support,36980980,"DD, ID",Autistic features
AGO1,Support,37007974,ASD,
AGO1,Support,37463579,DD,Stereotypy
AGO1,Support,37589173,"ASD, schizophrenia, DD, ID",Epilepsy/seizures
AGO1,Recent Recommendation,38412125,"ASD, DD, ID",
AGO2,Primary,33199684,"DD, ID",Autistic features
AGO2,Support,35982159,ASD,
AGO3,Primary,25363760,ASD,
AGO3,Support,28135719,DD,
AGO3,Support,28263302,ASD,
AGO3,Recent Recommendation,30559488,,
AGO3,Support,33004838,"ASD, DD",
AGO3,Support,35982159,ASD,
AGO3,Support,37506195,ASD,
AGO3,Support,38256266,ASD,ID
AGO4,Primary,25363760,ASD,
AGO4,Recent Recommendation,30559488,,
AGO4,Support,31398340,ASD,
AGO4,Support,35982159,ASD,
AGO4,Support,37788244,Stereotypy,
AGTR2,Primary,12089445,ID,
AGTR2,Recent Recommendation,16769992,,
AGTR2,Support,22269148,"PDD, ID, Epilepsy",
AGTR2,Support,31771860,OCD,
AGTR2,Support,32193494,ASD,
AHDC1,Support,24791903,"DD, ID",
AHDC1,Primary,25363768,ASD,
AHDC1,Support,25574029,"ASD, DD",Congenital heart defects
AHDC1,Recent Recommendation,27148574,"DD, ID",ASD
AHDC1,Support,27479843,ID,
AHDC1,Support,27841880,DD,
AHDC1,Support,28135719,Developmental disorders,
AHDC1,Support,28554332,ID,
AHDC1,Support,29158550,ID,"Behavioral anomalies, microcephaly"
AHDC1,Recent Recommendation,29696776,Xia-Gibbs syndrome,ASD
AHDC1,Support,30152016,Xia-Gibbs syndrome,ASD
AHDC1,Support,30622101,Xia-Gibbs syndrome,
AHDC1,Support,33004838,"ASD, DD",
AHDC1,Support,33644933,"Xia-Gibbs syndrome, DD, ID","ASD, epilepsy/seizures"
AHDC1,Support,34073322,"Xia-Gibbs syndrome, ASD","DD, epilepsy/seizures"
AHDC1,Support,34580403,"DD, ID",Epilepsy/seizures
AHDC1,Support,34950987,"DD, ID, epilepsy/seizures",ASD
AHDC1,Support,35205252,ASD,
AHDC1,Support,35322241,ID,
AHDC1,Support,35596688,"Xia-Gibbs syndrome, DD","Autistic features, stereotypy, epilepsy/seizures"
AHDC1,Support,35597848,"ASD, DD",
AHDC1,Support,35716097,"Xia-Gibbs syndrome, DD, ID","ASD, ADHD, epilepsy/seizures"
AHDC1,Support,35887114,"DD, ID",
AHDC1,Support,35982159,ASD,
AHDC1,Support,36881370,ASD,
AHDC1,Support,36980980,"DD, ID","Epilepsy/seizures, autistic features"
AHDC1,Support,37541188,DD,
AHDC1,Support,38177409,ID,
AHDC1,Support,38438125,DD,
AHI1,Highly Cited,15322546,Joubert syndrome-3,
AHI1,Highly Cited,15467982,Joubert syndrome-3,
AHI1,Recent Recommendation,16244321,,
AHI1,Recent Recommendation,18636121,,
AHI1,Primary,18782849,Joubert syndrome-3,ASD
AHI1,Recent Recommendation,18785627,,
AHI1,Recent Recommendation,18950740,,
AHI1,Recent Recommendation,20071346,SCZ,
AHI1,Recent Recommendation,20081859,,
AHI1,Recent Recommendation,20592197,,
AHI1,Recent Recommendation,21959375,,
AHI1,Recent Recommendation,22123816,,
AHI1,Support,23352163,ASD,
AHI1,Recent Recommendation,23532844,,
AHI1,Support,24690944,"DD, ID, ASD",MCA
AHI1,Support,25363768,ASD,
AHI1,Support,25558065,DD,
AHI1,Support,28097321,Joubert syndrome,"ID, epilepsy/seizures"
AHI1,Support,31398340,ASD,
AHI1,Support,35982159,ASD,
AHI1,Support,37506195,ASD,
AHI1,Support,37943464,DD,
AHNAK,Support,25363760,ASD,
AHNAK,Support,25363768,ASD,
AHNAK,Support,28965761,ASD,
AHNAK,Primary,33004838,ASD,"DD, ID"
AHNAK,Support,33431980,ASD,
AHNAK,Support,35982159,ASD,
AKAP9,Support,25363760,ASD,
AKAP9,Support,25363768,ASD,
AKAP9,Primary,26402605,ASD,
AKAP9,Support,27479843,ID,
AKAP9,Support,31398340,ASD,
AKAP9,Support,35982159,ASD,
AKAP9,Support,37393044,ASD,
AKAP9,Support,37506195,ASD,
ALDH1A3,Primary,23312594,Isolated microphthalmia-8 (MCOP8),ASD
ALDH1A3,Support,23646827,Microphthalmia,"ASD, ID"
ALDH1A3,Recent Recommendation,24024553,Microphthalmia/coloboma,"ASD, ID"
ALDH1A3,Negative Association,24568872,Isolated microphthalmia-8 (MCOP8),Autistic features
ALDH1A3,Support,25533962,Unknown diagnosis,
ALDH1A3,Support,35982159,ASD,
ALDH1A3,Support,36997679,Anophthalmia and/or microphthalmia,"ASD or autistic features, DD, ID, epilepsy/seizure"
ALDH1L1,Primary,25363768,ASD,
ALDH1L1,Support,28263302,ASD,
ALDH1L1,Support,28965761,ASD,
ALDH1L1,Support,31398340,ASD,
ALDH1L1,Support,31981491,ASD,
ALDH1L1,Recent Recommendation,35294868,ASD,
ALDH1L1,Support,37393044,ASD,
ALDH5A1,Primary,12743223,SSADH deficiency,Autism
ALDH5A1,Recent Recommendation,15341910,,
ALDH5A1,Recent Recommendation,1650448,,
ALDH5A1,Support,25363760,ASD,
ALDH5A1,Support,25363768,ASD,
ALDH5A1,Support,27056292,SSADH deficiency,"DD, ASD, epilepsy"
ALDH5A1,Support,28097321,SSADH deficiency,"ID, hypotonia"
ALDH5A1,Support,30564305,ASD,
ALDH5A1,Support,32621952,SSADH deficiency,"ASD, ADHD, DD, ID, epilepsy/seizures"
ALDH5A1,Support,33679889,ASD,"DD, ID"
ALDH5A1,Support,35322241,ID,
ALDH5A1,Support,35982159,ASD,
ALDH5A1,Support,37506195,ASD,
ALDH5A1,Support,38110041,Succinic semialdehyde dehydrogenase deficiency,
ALDH5A1,Highly Cited,8689400,,
ALDH5A1,Support,9683595,SSADH deficiency,Autism
ALG6,Primary,27287710,"Congenital disorder of glycosylation, type Ic",ASD or autistic features
ALG6,Support,35322241,"ID, epilepsy/seizures",
ALOX5AP,Recent Recommendation,16698924,,
ALOX5AP,Primary,16709250,ASD,
ALOX5AP,Highly Cited,2300173,,
ALOX5AP,Highly Cited,8522947,,
AMBRA1,Primary,24904333,,
AMBRA1,Recent Recommendation,28994820,ALTs,
AMBRA1,Support,29488136,,
AMBRA1,Positive association,31687209,ALTs,
AMBRA1,Support,34657573,,
AMBRA1,Support,35205252,ASD,
AMBRA1,Support,35982159,ASD,
AMBRA1,Support,36804922,ASD,
AMPD1,Primary,24189344,ASD,
AMPD1,Recent Recommendation,25155876,ASD,
AMPD1,Support,25363760,ASD,
AMPD1,Support,35982159,ASD,
AMPD1,Support,37506195,ASD,
AMT,Primary,23352163,ASD,
AMT,Support,37506195,ASD,
ANK2,Primary,22542183,ASD,
ANK2,Recent Recommendation,24267886,ASD,
ANK2,Recent Recommendation,25363760,ASD,
ANK2,Support,25363768,ASD,
ANK2,Support,25533962,Unknown diagnosis,
ANK2,Support,25621899,ASD,
ANK2,Support,25961944,ASD,
ANK2,Recent Recommendation,26401017,ASD,
ANK2,Support,26402605,ASD,
ANK2,Support,27824329,ASD,
ANK2,Support,28263302,ASD,
ANK2,Support,28554332,"ASD, ID",
ANK2,Support,28831199,ASD,
ANK2,Support,30564305,ASD,
ANK2,Support,31452935,ASD,
ANK2,Support,31981491,ASD,
ANK2,Support,32094338,ASD,
ANK2,Support,33004838,"ASD, DD",ID
ANK2,Support,34615535,ASD,
ANK2,Support,34812142,ASD,
ANK2,Support,35313230,ASD,
ANK2,Support,35982159,ASD,
ANK2,Support,36582832,Epilepsy/seizures,
ANK2,Support,36881370,ASD,
ANK2,Recent Recommendation,36950384,ASD,
ANK2,Support,37088467,"ASD, DD, ID",
ANK2,Recent Recommendation,37195288,"DD, ID, epilepsy/seizures","ASD, ADHD"
ANK2,Support,37321992,"ASD, epilepsy/seizures",
ANK2,Support,37393044,ASD,
ANK2,Support,37428632,"ASD, epilepsy/seizures",
ANK2,Support,37506195,ASD,
ANK2,Support,37642601,,
ANK2,Support,38256266,ASD,"ADHD, BPD, OCD, ID, learning disability"
ANK2,Recent Recommendation,38290518,ASD,
ANK3,Positive Association,17486107,BPD,
ANK3,Positive Association,18711365,BPD,
ANK3,Positive Association,19088739,BPD,
ANK3,Positive Association,20185149,SCZ,
ANK3,Positive Association,21893642,SCZ,
ANK3,Positive Association,21926974,"SCZ, BPD",
ANK3,Support,22495306,ASD,
ANK3,Primary,22865819,ASD,
ANK3,Recent Recommendation,23390136,"ASD, ADHD, ID",Epilepsy
ANK3,Recent Recommendation,23730306,,
ANK3,Positive Association,23934111,Epilepsy,"IS, LGS, DD, ID, ASD, ADHD"
ANK3,Recent Recommendation,24821222,,
ANK3,Support,25363768,ASD,
ANK3,Recent Recommendation,25374361,,
ANK3,Support,25533962,Unknown diagnosis,
ANK3,Support,26055424,"ASD, ID",
ANK3,Support,26539891,ID,
ANK3,Support,26892727,,
ANK3,Support,27824329,ASD,
ANK3,Recent Recommendation,27956739,,
ANK3,Support,28344757,ASD,
ANK3,Positive Association,28472652,Tourette syndrome,
ANK3,Support,28687526,"ID, ADHD","Autistic features, macrocephaly"
ANK3,Recent Recommendation,30046097,,
ANK3,Support,30564305,ASD,
ANK3,Support,31452935,ASD,
ANK3,Support,34218362,"DD, ID","Autistic features, stereotypy, epilepsy/seizures"
ANK3,Support,35205252,ASD,
ANK3,Support,35982159,ASD,
ANK3,Support,36376465,Bipolar disorder,
ANK3,Support,37263801,"ASD, DD",
ANK3,Support,37393044,ASD,
ANK3,Support,38123552,Bipolar disorder,Epilepsy/seizures
ANK3,Support,38177409,"ASD, ID",
ANKRD11,Highly Cited,15184363,,
ANKRD11,Recent Recommendation,17286281,,
ANKRD11,Primary,18252227,ASD,
ANKRD11,Recent Recommendation,18377363,,
ANKRD11,Recent Recommendation,18840648,,
ANKRD11,Support,19920853,ASD,
ANKRD11,Support,21654729,ID,ADHD
ANKRD11,Support,21782149,KBG syndrome,ID
ANKRD11,Support,24690944,"DD, ID, ASD",MCA
ANKRD11,Support,25125236,Cornelia de Lange syndrome,
ANKRD11,Support,25167861,ID,
ANKRD11,Support,25284784,,
ANKRD11,Support,25363768,ASD,
ANKRD11,Recent Recommendation,25424714,KBG syndrome,"ASD, ID, ADHD, epilepsy"
ANKRD11,Support,25473036,KBG syndrome,
ANKRD11,Support,25533962,"ASD, DD, ID",
ANKRD11,Recent Recommendation,25556659,,
ANKRD11,Support,25574603,ASD,
ANKRD11,Support,25652421,Cornelia de Lange syndrome,
ANKRD11,Recent Recommendation,26401017,ASD,
ANKRD11,Support,27435318,"DD, ID",
ANKRD11,Support,27479843,ID,
ANKRD11,Support,27605097,KBG syndrome,
ANKRD11,Support,27620904,KBG syndrome,"ID, autistic behavior, stereotypic behavior"
ANKRD11,Support,27667684,ASD,
ANKRD11,Support,27667800,KBG syndrome,
ANKRD11,Support,27824329,ASD,
ANKRD11,Support,27848944,DD,
ANKRD11,Support,27900361,KBG syndrome,"ASD, ID, epilepsy/seizures"
ANKRD11,Support,28250421,KBG syndrome,
ANKRD11,Support,28263302,ASD,
ANKRD11,Support,28333917,Psychomotor retardation,
ANKRD11,Support,28554332,"ASD, ID, epilepsy/seizures",
ANKRD11,Support,28771251,"ID, epilepsy/seizures",
ANKRD11,Support,29100083,Epilepsy/seizures,DD/ID
ANKRD11,Support,29158550,ID,Microcephaly
ANKRD11,Support,29286531,Epilepsy/seizures,Specific learning disability
ANKRD11,Support,29346770,ASD,
ANKRD11,Recent Recommendation,29995837,Cornelia de Lange syndrome,
ANKRD11,Support,30088855,KBG syndrome,
ANKRD11,Support,30945278,ID,
ANKRD11,Support,31209962,"ID, ASD or autistic traits",
ANKRD11,Support,31406558,ASD,
ANKRD11,Support,31981491,ASD,
ANKRD11,Support,32094338,ASD,
ANKRD11,Support,32760686,KBG syndrome,"ASD, DD, ID, epilepsy/seizures"
ANKRD11,Support,33262785,KBG syndrome,"DD, ID/learning disability, ADHD, autistic feature"
ANKRD11,Support,33619735,"ASD, DD, epilepsy/seizures",
ANKRD11,Support,33624935,"DD, ID",
ANKRD11,Support,33644862,DD,
ANKRD11,Support,33753861,DD/ID,
ANKRD11,Support,34440431,"KBG syndrome, DD","ASD, ADHD, ID, epilepsy/seizures"
ANKRD11,Support,34580403,"ASD, DD, ID, epilepsy/seizures",
ANKRD11,Support,35174959,"KBG syndrome, DD, ID","ASD, ADHD"
ANKRD11,Support,35183220,Learning disability,
ANKRD11,Support,35322241,ID,ADHD
ANKRD11,Support,35330407,"KBG syndrome, DD","ID, epilepsy/seizures"
ANKRD11,Support,35573061,"KBG syndrome, epilepsy/seizures",
ANKRD11,Recent Recommendation,35833929,"DD, ID","ASD or autistic features, ADHD, epilepsy/seizures"
ANKRD11,Support,35901164,SCZ,
ANKRD11,Support,35982159,ASD,
ANKRD11,Support,36446582,KBG syndrome,"ASD, ADHD, DD, ID, epilepsy/seizures"
ANKRD11,Support,36564961,"KBG syndrome, DD","ADHD, ID, epilepsy/seizures"
ANKRD11,Support,36628575,"KBG syndrome, ADHD, ID",
ANKRD11,Support,36702863,ASD,
ANKRD11,Support,36943625,ID,
